client_id,client_name,client_dob,client_type,client_created_by
67,Lauren Allen,27/10/2001,first-home buyer,50
68,Rachel Perry,4/09/1986,first-home buyer,68
69,Nina Smith,18/08/1974,first-home buyer,39
70,Jennifer Ford,11/10/2001,first-home buyer,6
71,Melanie Bond,6/07/1996,first-home buyer,38
72,Bryan Vasquez,2/08/1984,first-home buyer,70
73,Karen Cameron,20/09/1992,first-home buyer,59
74,Brian Lopez,26/06/1979,first-home buyer,9
75,Angela Perez,31/10/2006,first-home buyer,22
76,Kimberly Carroll,22/07/1961,first-home buyer,72
77,Barbara Briggs,19/10/1971,first-home buyer,20
78,Jennifer Simpson,25/10/1987,first-home buyer,17
79,Pamela Brown,23/06/1992,first-home buyer,42
80,Sandy Macias,6/07/1982,first-home buyer,26
81,Melissa Smith,31/01/1995,first-home buyer,1
82,Bryan Meza,13/03/1975,first-home buyer,41
83,Daniel Baird,4/07/1985,first-home buyer,20
84,Lauren Reese,4/02/2005,first-home buyer,31
85,Kelly Freeman,2/09/1961,first-home buyer,66
86,Andrea Pace,18/02/2007,first-home buyer,63
87,Kimberly Moore,2/06/1987,first-home buyer,46
88,Robin Walker,17/01/1982,first-home buyer,46
89,William Fox,5/02/1981,first-home buyer,55
90,Tamara Booker,29/08/1980,first-home buyer,48
91,Sara Harper,13/01/1972,first-home buyer,41
92,William Shah,8/05/1974,first-home buyer,18
93,Ashley Moreno,10/03/2003,first-home buyer,80
94,Rachel Jimenez,19/09/1998,first-home buyer,53
95,Brian Hebert,18/08/1990,first-home buyer,55
96,David Lyons,13/04/1971,first-home buyer,51
97,Cindy Williamson,9/08/2006,first-home buyer,50
98,John Perez,23/03/1977,first-home buyer,37
99,Tammy Cunningham,2/07/1987,first-home buyer,47
100,Miranda George,20/06/1996,first-home buyer,34
101,Julie Ayers,16/08/1968,first-home buyer,6
102,Sean Whitney,3/11/1997,first-home buyer,9
103,Matthew Hammond,13/12/1964,first-home buyer,18
104,Margaret Smith,9/09/1989,first-home buyer,71
105,Sean Flores,30/12/2004,first-home buyer,59
106,Tiffany Gregory,28/12/1997,first-home buyer,39
107,Adam Mason,12/01/1961,first-home buyer,57
108,Mike Gates,27/11/1995,first-home buyer,36
109,Jake Miller,25/02/2000,first-home buyer,7
110,Michelle Fleming,22/03/2007,first-home buyer,23
111,Anthony Robinson,11/05/1966,first-home buyer,1
112,Elizabeth Cohen,2/05/1998,first-home buyer,6
113,Patrick Campos,20/03/1962,first-home buyer,66
114,Natalie Rodriguez,12/12/1999,first-home buyer,69
115,Cindy Miller MD,7/12/1966,first-home buyer,42
116,Aimee Smith,18/12/1982,first-home buyer,63
117,Barbara Stewart,16/07/1980,first-home buyer,34
118,Tyler Rodriguez,23/09/1998,first-home buyer,25
119,Jeremy Obrien,11/10/1962,first-home buyer,7
120,Alison Bailey,17/06/2005,first-home buyer,27
121,Tim Garcia,4/06/1980,first-home buyer,21
122,Renee Bullock,28/02/1985,first-home buyer,77
123,Lori Peters,13/03/1977,first-home buyer,66
124,Dean Miranda,12/03/2006,first-home buyer,75
125,Tracey Rollins,12/12/1993,first-home buyer,1
126,Richard Baker,8/05/1988,first-home buyer,42
127,Jennifer Walker,3/04/2005,first-home buyer,14
128,Jesse Kelley,29/09/1984,first-home buyer,80
129,Nicole Garza,28/03/1973,first-home buyer,64
130,Mary Williams,27/02/1969,first-home buyer,70
131,Wanda Henderson,14/08/1967,first-home buyer,7
132,Brenda Perry,9/02/1990,first-home buyer,11
133,Heidi Johnson,29/07/1980,first-home buyer,62
134,Megan Smith,13/06/1990,first-home buyer,43
135,Jerry Santos,22/03/2003,first-home buyer,20
136,Beth Vasquez,18/05/1974,first-home buyer,53
137,Amanda Brown,24/12/1967,first-home buyer,2
138,Susan Miller,18/06/1999,first-home buyer,33
139,Gabriel White,19/09/1967,first-home buyer,45
140,Jeremy Vasquez,27/05/2007,first-home buyer,71
141,Kelly Farrell,24/10/1975,first-home buyer,26
142,Patrick Thomas,15/07/1989,first-home buyer,31
143,Jason Kane,6/10/2005,first-home buyer,1
144,Ronald Moore,20/02/2005,first-home buyer,36
145,Crystal Johnson,17/07/1968,first-home buyer,46
146,Katherine Fuller,1/01/1979,first-home buyer,60
147,Kristine Sosa,24/11/2005,first-home buyer,50
148,Jerome Cole,10/06/1973,first-home buyer,60
149,Cheryl Baker,29/12/1979,first-home buyer,75
150,Joshua White,8/10/1984,first-home buyer,41
151,Gwendolyn Sims,21/12/1996,first-home buyer,42
152,Hannah White,6/02/1976,first-home buyer,1
153,Scott Carlson,20/07/1991,first-home buyer,76
154,Thomas Wiley,17/08/1992,first-home buyer,47
155,Madison Costa,2/09/1960,first-home buyer,71
156,Susan Campbell,10/02/1963,first-home buyer,48
157,Sarah Whitney,4/12/1989,first-home buyer,37
158,Pamela Moore,14/02/1990,first-home buyer,27
159,Eric Lawrence,23/01/1972,first-home buyer,40
160,Gabriela Gilbert,6/09/1959,first-home buyer,43
161,Joshua Ingram,24/07/1999,first-home buyer,35
162,David Schmitt,10/04/1984,first-home buyer,51
163,Diane Frazier,16/09/2005,first-home buyer,64
164,Carl Webb,31/07/1989,first-home buyer,71
165,Travis Kaufman,20/11/1991,first-home buyer,31
166,Anthony Moore,10/07/1978,first-home buyer,80
167,Anthony White,18/06/1975,first-home buyer,5
168,Cynthia Morgan MD,15/07/2002,first-home buyer,46
169,Kathryn Thomas,28/09/1979,first-home buyer,8
170,Ms. Beverly Gross,24/02/1961,first-home buyer,1
171,Thomas Nelson,18/04/1967,first-home buyer,69
172,Robert Simpson,6/01/1962,first-home buyer,72
173,Arthur Kirby,21/02/1981,first-home buyer,36
174,Jessica Castro,25/06/1964,first-home buyer,51
175,Rose Wells,20/02/1970,first-home buyer,59
176,Victor Dixon,16/06/1975,first-home buyer,49
177,Jay Hernandez,3/10/1991,first-home buyer,60
178,Tanya Morales,29/04/1994,first-home buyer,3
179,Marcus Petty,15/11/1982,first-home buyer,45
180,Carlos Davis,9/08/1964,first-home buyer,39
181,Leslie Bell,28/12/1966,first-home buyer,38
182,Miranda Meza,15/09/1966,first-home buyer,1
183,Gary Robertson,20/11/1968,first-home buyer,33
184,Linda Ruiz,9/07/2004,first-home buyer,14
185,Catherine Johnston,21/03/1971,first-home buyer,9
186,Stephanie Townsend,12/06/1983,first-home buyer,1
187,Tracie Bailey,23/06/1986,first-home buyer,37
188,Colin Kim,10/08/2003,first-home buyer,32
189,Francisco Gray,17/12/1980,first-home buyer,44
190,Mrs. Cynthia Chan,14/06/1986,first-home buyer,2
191,Heather Morris,15/03/1968,first-home buyer,32
192,Kimberly Walker,11/11/2004,first-home buyer,16
193,Eric Barnett,6/08/1966,first-home buyer,53
194,James Murphy,21/05/1983,first-home buyer,21
195,Connie Bradshaw,7/12/2004,first-home buyer,18
196,Karen Hill,29/10/2004,first-home buyer,59
197,Joseph Flores,16/09/1961,first-home buyer,40
198,Sarah Diaz,6/11/1961,first-home buyer,20
199,Michele Alexander,21/01/1994,first-home buyer,18
200,Stephanie Garner,21/10/1963,first-home buyer,22
201,Douglas Castillo,4/07/1962,first-home buyer,1
202,Noah Griffin,18/11/1983,first-home buyer,63
203,Sarah Rodriguez,24/06/1988,first-home buyer,69
204,William Stewart,21/11/1975,first-home buyer,64
205,Dale Anderson,13/02/1976,first-home buyer,48
206,Kenneth Price,21/09/2000,first-home buyer,23
207,Anthony Shah,21/11/1990,first-home buyer,35
208,Edwin Lopez,29/05/1986,first-home buyer,54
209,Ashley Kelly,23/01/1975,first-home buyer,22
210,Wanda Austin,2/09/1992,first-home buyer,63
211,Daniel Torres,22/04/1982,first-home buyer,16
212,Ryan Lucas,5/05/2007,first-home buyer,47
213,Amber Dunlap,16/04/2002,first-home buyer,12
214,Tammy Hicks,20/01/1960,first-home buyer,69
215,James Thomas,4/08/1970,first-home buyer,13
216,Lori Baxter,23/08/2003,first-home buyer,15
217,Ashley Kelly,8/08/1984,first-home buyer,34
218,Matthew Williams,12/03/1988,first-home buyer,16
219,April Jones,31/07/1997,first-home buyer,69
220,Taylor Fitzpatrick,8/07/1976,first-home buyer,66
221,Jacqueline Hansen,3/11/1982,first-home buyer,20
222,Scott Gibson,4/02/1995,first-home buyer,14
223,Kelsey Dominguez,20/12/1989,first-home buyer,29
224,Julie Reid,8/01/2002,first-home buyer,55
225,Thomas Vega,25/07/1991,first-home buyer,48
226,Matthew Garcia,4/12/1974,first-home buyer,50
227,Pamela Ryan,7/09/1969,first-home buyer,40
228,Marisa Blackburn,26/04/1992,first-home buyer,5
229,Rachel Ibarra,5/06/1972,first-home buyer,56
230,Timothy Logan,28/05/1962,first-home buyer,19
231,Gary Craig,4/05/1995,first-home buyer,36
232,Wayne Valenzuela,19/02/1986,first-home buyer,19
233,Lori Coleman,14/02/2000,first-home buyer,37
234,Crystal Baker,8/10/1993,first-home buyer,2
235,Latasha Johnston,31/01/1966,first-home buyer,26
236,Jason Reid,4/06/1984,first-home buyer,43
237,Austin Williams,7/10/1969,first-home buyer,70
238,Holly Torres,5/06/1986,first-home buyer,65
239,Jonathan Wiley,29/09/1975,first-home buyer,7
240,Shannon Stewart,18/02/1979,first-home buyer,30
241,Stephen Jones,11/09/1965,first-home buyer,3
242,Nicholas Pittman,18/12/1993,first-home buyer,19
243,Todd Dennis,10/04/1993,first-home buyer,39
244,Shawn Brennan,3/11/1988,first-home buyer,11
245,Chelsea Porter,11/08/1973,first-home buyer,28
246,Danny Thomas,11/03/1977,first-home buyer,33
247,Richard Sanchez PhD,17/05/1998,first-home buyer,72
248,Peter Evans,16/04/1979,first-home buyer,34
249,Katherine Heath,20/01/1967,first-home buyer,36
250,Jacob Wilson,4/06/1979,first-home buyer,35
251,Hailey Nelson,7/02/1990,first-home buyer,52
252,Kimberly Johnston,12/10/1980,first-home buyer,30
253,Laura Reed,24/08/1966,first-home buyer,40
254,Lori George,26/09/1967,first-home buyer,6
255,Joseph Brewer,21/05/1967,first-home buyer,56
256,Chase Lewis,6/02/1987,first-home buyer,64
257,Tyler Bailey,24/06/1993,first-home buyer,7
258,Kari Lawrence,28/05/2007,first-home buyer,11
259,Stephanie Edwards,5/02/1978,first-home buyer,54
260,Matthew Garrison,27/12/1970,first-home buyer,1
261,Ronald Thomas,22/06/2005,first-home buyer,13
262,John Sims,13/07/2000,first-home buyer,3
263,Amanda Fritz,24/11/1983,first-home buyer,70
264,Margaret Wilson,5/04/1997,first-home buyer,46
265,Scott Arnold,7/06/1992,first-home buyer,72
266,Alexis Galvan,25/05/1973,first-home buyer,78
267,Noah Green,23/12/2003,first-home buyer,77
268,David Brown,6/07/1990,first-home buyer,47
269,Alicia Owens,7/02/1997,first-home buyer,42
270,Ray Oneill,20/11/2001,first-home buyer,2
271,Amanda Murray,10/07/1982,first-home buyer,12
272,Joshua Johnson,19/04/1997,first-home buyer,45
273,Amanda Davenport,8/11/1992,first-home buyer,39
274,Bernard Esparza,27/08/1985,first-home buyer,1
275,Jessica Hendrix,12/10/1997,first-home buyer,13
276,Heather Simmons,8/10/1962,first-home buyer,46
277,Kristin Randolph,23/03/1983,first-home buyer,50
278,Christopher Garrison,2/01/1974,first-home buyer,15
279,Joshua Howard,10/12/1967,first-home buyer,65
280,Steven Gamble,31/05/1979,first-home buyer,54
281,Shawn Flynn,15/07/1971,first-home buyer,33
282,Renee Guerrero,13/06/1981,first-home buyer,55
283,Chloe Collins,17/06/1960,first-home buyer,47
284,Brandy Hatfield,9/03/1997,first-home buyer,60
285,Jane Arnold,21/06/1980,first-home buyer,28
286,Frank Duke,4/01/1995,first-home buyer,27
287,Paul Malone,26/03/1988,first-home buyer,64
288,Barbara Perez,6/09/1970,first-home buyer,31
289,Jessica Morgan,20/01/2006,first-home buyer,73
290,Stephanie Davis,7/02/1969,first-home buyer,76
291,Carolyn Perry,7/02/1962,first-home buyer,34
292,Christopher Hart,30/08/1966,first-home buyer,1
293,Elizabeth Mclean,12/12/1984,first-home buyer,26
294,Bradley Mullen,6/06/1982,first-home buyer,60
295,Ashley Wong,10/05/1976,first-home buyer,2
296,Harry Hughes,11/12/1980,first-home buyer,75
297,Kristen Smith,9/01/1973,first-home buyer,26
298,Jonathan Bowman,10/09/1973,first-home buyer,19
299,Hannah Carter,10/07/2003,first-home buyer,2
300,Christy Jimenez,9/09/1989,first-home buyer,56
301,Anna Johnson,27/02/1982,first-home buyer,23
302,Kevin Brooks,22/07/1978,first-home buyer,26
303,Jacqueline Mccormick,12/05/2003,first-home buyer,14
304,Dylan Soto,6/03/1999,first-home buyer,69
305,Jeffrey Powers,12/05/2000,first-home buyer,12
306,Christine Lynn MD,21/07/1981,first-home buyer,19
307,Michelle Zamora,4/03/1986,first-home buyer,16
308,Carlos Salas,22/09/1994,first-home buyer,38
309,Steven Sanchez,6/11/1994,first-home buyer,47
310,Sherry Thomas,9/09/1971,first-home buyer,45
311,Jennifer Myers,10/08/1972,first-home buyer,76
312,Lindsey Cooper MD,21/03/1973,first-home buyer,44
313,Troy Parker,12/03/2000,first-home buyer,10
314,Angela Bryant,23/07/2004,first-home buyer,10
315,Adam Gill,30/01/1967,first-home buyer,75
316,Paige Bruce,27/04/1977,first-home buyer,32
317,Patricia Hernandez,3/11/1977,first-home buyer,8
318,Ms. Barbara Harris,19/07/2004,first-home buyer,66
319,Taylor Hansen,22/04/1988,first-home buyer,25
320,Ricky Morris,31/12/1989,first-home buyer,8
321,Mary Houston,24/12/1998,first-home buyer,72
322,Evan Sanders,2/10/1974,first-home buyer,15
323,Emily Green,22/03/1960,first-home buyer,23
324,Robert Gonzalez,12/03/2006,first-home buyer,5
325,Adam Pitts,27/06/1983,first-home buyer,56
326,Derrick Dawson,28/04/1977,first-home buyer,6
327,Michelle Mayo,22/03/1983,first-home buyer,20
328,Patrick Ballard,28/05/1985,first-home buyer,77
329,Cynthia Long,7/09/1978,first-home buyer,41
330,Matthew Tucker,7/09/1988,first-home buyer,40
331,Seth Petty,10/02/2003,first-home buyer,37
332,Andrea Peterson,15/06/1986,first-home buyer,69
333,Michelle Stevens,18/11/1969,first-home buyer,30
334,Riley Hernandez,26/01/2002,first-home buyer,31
335,Madison Graham,14/05/2006,first-home buyer,65
336,Patrick Wheeler,24/09/2006,first-home buyer,32
337,Valerie Ashley,3/10/1998,first-home buyer,29
338,Joyce Gonzales,18/10/1959,first-home buyer,23
339,Frank Gonzalez,5/01/1968,first-home buyer,31
340,Kimberly Marshall,22/01/1976,first-home buyer,47
341,Jason Schwartz,17/10/1971,first-home buyer,57
342,Paige Jimenez MD,11/06/1960,first-home buyer,66
343,Joshua Hansen,15/08/1985,first-home buyer,14
344,Heather Newton PhD,28/12/1998,first-home buyer,76
345,Sarah May,12/12/1989,first-home buyer,66
346,Adam Reyes,8/05/1977,first-home buyer,64
347,Isaac Pacheco,9/03/1994,first-home buyer,17
348,Lisa Hansen,24/11/1961,first-home buyer,48
349,Rachel Bell,3/07/1981,first-home buyer,4
350,Whitney Jensen,8/08/1969,first-home buyer,71
351,Melissa Walls DDS,3/05/1986,first-home buyer,39
352,Jeffrey Elliott,22/05/1999,first-home buyer,34
353,Jessica Dean,15/11/1986,first-home buyer,22
354,Matthew Wolfe,20/07/1983,first-home buyer,67
355,Courtney Miller,24/11/1973,first-home buyer,14
356,Jesse Johnson,29/01/1966,first-home buyer,71
357,Tracy Lewis,7/04/2005,first-home buyer,33
358,Beth Mercer,13/08/1976,first-home buyer,69
359,James Phillips,7/11/1994,first-home buyer,43
360,Robert Harris,8/02/1993,first-home buyer,57
361,Evelyn Mcclain,21/01/1973,first-home buyer,80
362,Maria Lin,21/03/1999,first-home buyer,37
363,Sarah Brown,29/01/1993,first-home buyer,56
364,Richard Norton,18/02/1999,first-home buyer,36
365,Latoya Jimenez,10/01/1997,first-home buyer,75
366,Benjamin Love,23/08/1974,first-home buyer,52
367,Sarah Rivas,10/04/1975,first-home buyer,51
368,Melissa Ramos,12/01/1989,first-home buyer,6
369,Sharon Griffin,13/12/2006,first-home buyer,66
370,Christopher Morgan,31/03/1976,first-home buyer,4
371,Jacob Vega,27/08/1967,first-home buyer,64
372,Howard Bryant,7/05/1983,first-home buyer,41
373,Amanda Pearson,10/11/1959,first-home buyer,21
374,Mary Bender,6/08/1998,first-home buyer,31
375,Ronald Perkins,20/02/1973,first-home buyer,7
376,Amanda Miller,15/03/1961,first-home buyer,50
377,Chris Snyder,26/11/1965,first-home buyer,4
378,Annette Rios,22/04/1963,first-home buyer,27
379,Mason Dominguez,22/07/1992,first-home buyer,1
380,Kathy Carlson,1/02/2003,first-home buyer,12
381,Karen Vincent,27/03/1989,first-home buyer,33
382,Daniel Clark,11/07/1984,first-home buyer,11
383,Yvonne Gray,15/07/1964,first-home buyer,68
384,Daniel Fox,20/07/1964,first-home buyer,76
385,Jay Lester,3/03/2007,first-home buyer,27
386,Valerie Hughes,28/10/1986,first-home buyer,13
387,Shannon Rodriguez,25/08/1974,first-home buyer,40
388,Darin Peterson,21/10/2006,first-home buyer,67
389,Brandon Cooper,25/07/1998,first-home buyer,10
390,Danielle Peterson,7/07/1968,first-home buyer,66
391,Steven Cisneros,27/03/1993,first-home buyer,75
392,Robert Kim,26/01/1977,first-home buyer,80
393,Michael Buchanan,2/10/1976,first-home buyer,71
394,Briana Walters,10/06/1976,first-home buyer,21
395,Alfred Castaneda,18/04/1963,first-home buyer,75
396,Lynn Casey,4/05/1985,first-home buyer,36
397,Amy Stanton,28/09/2000,first-home buyer,70
398,Cynthia Kim,27/06/1993,first-home buyer,17
399,Nicholas Walker,25/01/1983,first-home buyer,68
400,Trevor Wallace,4/12/1980,first-home buyer,27
401,Kimberly Gonzales,10/11/1966,first-home buyer,18
402,Joseph Lee,27/03/2002,first-home buyer,70
403,Jeremy Carpenter,8/04/1968,first-home buyer,47
404,Sara Henderson,10/03/2006,first-home buyer,65
405,Tanner Lloyd,12/07/1984,first-home buyer,57
406,Wayne Jackson,4/02/1975,first-home buyer,3
407,Mr. Troy Rivera,6/10/1981,first-home buyer,63
408,Angela Barker,20/05/1984,first-home buyer,76
409,David Adams,20/07/1997,first-home buyer,28
410,Kenneth Alvarez,30/12/1970,first-home buyer,34
411,Katherine Lewis,1/01/1968,first-home buyer,51
412,Karina Martin,3/08/1982,first-home buyer,13
413,Jeffery Delgado,31/12/1983,first-home buyer,56
414,Adam Lee,13/06/1967,first-home buyer,21
415,Cynthia Duran,17/07/1970,first-home buyer,21
416,Chelsea Wright,14/10/1965,first-home buyer,8
417,Travis Estrada,3/05/1975,first-home buyer,33
418,Christopher Smith,20/09/1984,first-home buyer,52
419,Mark Howell,12/01/2005,first-home buyer,18
420,Timothy Booth,13/01/2002,first-home buyer,23
421,Tyler Morgan,28/05/1986,first-home buyer,66
422,Miguel Nelson,14/05/1968,first-home buyer,61
423,Haley Sellers,2/03/1973,first-home buyer,28
424,Virginia Proctor,5/04/1987,first-home buyer,63
425,Douglas Bell,6/03/1975,first-home buyer,63
426,Ms. Emily Jones MD,11/03/1971,first-home buyer,43
427,Mary Smith,8/02/2004,first-home buyer,69
428,Whitney Duran,26/01/2001,first-home buyer,5
429,Philip Fuller,17/07/1971,first-home buyer,78
430,Julie Mcmillan,12/02/2000,first-home buyer,79
431,Jennifer Shelton,24/01/1981,first-home buyer,63
432,Anthony Murphy DDS,24/12/1997,first-home buyer,25
433,Matthew Hodges,27/04/2003,first-home buyer,55
434,Jeremy Osborne MD,7/11/1976,first-home buyer,2
435,Audrey Lynch DVM,1/09/1992,first-home buyer,69
436,Nathan Acevedo,4/08/1993,first-home buyer,32
437,Melissa Peterson,9/06/1974,first-home buyer,19
438,Scott Hernandez,25/10/1976,first-home buyer,77
439,Elizabeth Avila,12/11/1997,first-home buyer,2
440,Brenda Poole,22/09/1987,first-home buyer,75
441,Mrs. Danielle Hale,5/05/1993,first-home buyer,57
442,Lisa Scott,24/02/1989,first-home buyer,32
443,Zachary Lee,10/03/1999,first-home buyer,3
444,Blake Rivera,29/11/1959,first-home buyer,61
445,William Moore DDS,6/10/1978,first-home buyer,40
446,Rose Foster,13/12/1993,first-home buyer,42
447,Mrs. Dawn Dominguez DDS,24/11/1962,first-home buyer,13
448,Dennis Kelley,27/03/1972,first-home buyer,31
449,Kelly Johnson,15/02/1981,first-home buyer,3
450,Gary Davis,23/11/2004,first-home buyer,80
451,Willie Brooks,5/07/1962,first-home buyer,10
452,Tracy Reyes,5/01/2007,first-home buyer,39
453,Casey Garcia,24/08/1991,first-home buyer,20
454,John Sullivan DDS,11/01/1970,first-home buyer,28
455,William Thomas,29/09/1986,first-home buyer,72
456,Gabriella Sweeney,29/09/1966,first-home buyer,41
457,Ellen Wells,20/10/2000,first-home buyer,64
458,Kendra Alexander,3/12/1965,first-home buyer,39
459,Vincent Buck,13/06/1968,first-home buyer,18
460,Curtis Nicholson,1/09/1991,first-home buyer,31
461,Michelle Gillespie,11/01/1964,first-home buyer,58
462,Jeremy Young,6/05/1974,first-home buyer,23
463,Joseph Valencia,17/06/1968,first-home buyer,33
464,Michael Miller,23/12/1990,first-home buyer,9
465,Taylor Clark,22/01/1996,first-home buyer,11
466,Luis Larson,7/05/1962,first-home buyer,41
467,Jamie Torres,19/09/1992,first-home buyer,23
468,Mia Jennings,14/06/1975,first-home buyer,27
469,Victoria Hernandez,14/04/1994,first-home buyer,10
470,Angel Wolf,11/11/1979,first-home buyer,61
471,Willie Padilla,18/12/1992,first-home buyer,2
472,Andrew White DVM,24/01/1983,first-home buyer,40
473,Stephen Rodriguez,30/01/1961,first-home buyer,24
474,Jacob Davies,17/02/1995,first-home buyer,2
475,Tracey May,30/09/1984,first-home buyer,40
476,Mary Davis,12/03/2006,first-home buyer,6
477,Angela Williams,31/08/1971,first-home buyer,70
478,Lisa Gibson,8/04/1985,first-home buyer,51
479,Victor Sanchez,27/07/1979,first-home buyer,15
480,Ann Price,6/11/1971,first-home buyer,57
481,Mrs. Mary Gilbert,19/09/2004,first-home buyer,27
482,Lauren Taylor,25/11/1974,first-home buyer,41
483,David Smith,15/04/1983,first-home buyer,38
484,Christopher Waller,27/03/1962,first-home buyer,47
485,Kevin Villarreal,1/03/1966,first-home buyer,58
486,Vanessa Wilson,27/01/1993,first-home buyer,39
487,Brandon Johnson,1/06/2003,first-home buyer,2
488,Debra Dixon,28/11/1965,first-home buyer,68
489,Raymond Mcdonald,26/11/1992,first-home buyer,36
490,Erik Davis,28/04/1997,first-home buyer,11
491,Lisa Gross,24/06/1973,first-home buyer,12
492,Tammy Moran,17/10/1961,first-home buyer,27
493,Jordan Santos,8/09/2005,first-home buyer,75
494,Douglas Guerrero,10/09/1996,first-home buyer,62
495,James Jenkins,30/09/1970,first-home buyer,19
496,Joshua Barajas,10/01/1977,first-home buyer,25
497,Terry Johnson,1/09/2006,first-home buyer,76
498,Allen Bass,24/11/1995,first-home buyer,19
499,Andre Moore,25/03/1971,first-home buyer,61
500,Charles Drake,28/12/1959,first-home buyer,40
501,Christopher Peters,25/05/2007,first-home buyer,69
502,Angela Burke,28/11/1964,first-home buyer,46
503,Joseph Ballard,1/11/1992,first-home buyer,80
504,Robert Rivera,18/01/2005,first-home buyer,24
505,Donald Casey,15/09/1987,first-home buyer,78
506,Alexa Kline,21/08/1969,first-home buyer,39
507,Ryan Brown,17/03/1995,first-home buyer,52
508,Sandra Hayes PhD,17/02/2002,first-home buyer,3
509,Mr. David Schwartz,2/12/1990,first-home buyer,12
510,Patricia Jones,31/03/2005,first-home buyer,11
511,Jerry Anderson,19/06/1992,first-home buyer,39
512,Timothy Wade,9/06/1998,first-home buyer,19
513,Alexa Gill,17/11/1996,first-home buyer,69
514,Denise Gill,6/04/1972,first-home buyer,12
515,Drew Brown,23/10/1999,first-home buyer,46
516,Mr. Victor Christian,3/05/2005,first-home buyer,55
517,Elizabeth Snyder,9/08/1994,first-home buyer,71
518,Heather Dawson,30/12/1961,first-home buyer,31
519,Rodney Martin,23/04/2007,first-home buyer,78
520,Mr. Christopher Contreras MD,17/05/1996,first-home buyer,15
521,Tara Hodge,24/08/1999,first-home buyer,71
522,Daniel Lane,18/08/1997,first-home buyer,58
523,Brandon Peterson,23/08/1961,first-home buyer,58
524,Megan Maynard,13/05/1994,first-home buyer,6
525,Courtney Watson,31/07/1983,first-home buyer,31
